DAY,MARKET,UE_DL_Throughput_Mbps,Peak_#_UE_In_Connected_Mode,Downlink_Data_Volume_MB_Test,PRB_Util_DL_GT_90%,PDCCH_Util_%,Weighted_Avg_PRB_Util_DL,CQI_Legacy_AllRanks
12/27/2021,aaaa,7.71,2476504,160315116.6,3.78,53.16,27.59,8.93
12/28/2021,aaaa,7.76,2486882,159726003.5,3.81,53.36,27.67,8.93
12/29/2021,aaaa,7.65,2513554,159701185.7,3.83,53.46,27.47,8.94
12/30/2021,aaaa,7.5,2586318,158817416.2,3.71,53.66,27.29,8.95
12/31/2021,aaaa,8.46,2405714,147716555.6,2.97,51.05,25.1,9.01
1/3/2022,aaaa,7.66,2519297,159383116.3,3.73,53.33,27.25,8.95
1/4/2022,aaaa,7.53,2684512,160719842.8,3.85,54.51,27.79,8.92
1/5/2022,aaaa,7.41,2675144,165234586.3,4.05,55.43,28.5,8.91
1/6/2022,aaaa,7.44,2431812,149027794.4,3.9,55.38,28.27,8.89
1/7/2022,aaaa,7.56,2655037,164994540.8,3.98,55.21,28.38,8.92
1/10/2022,aaaa,7.73,2672256,164578268.4,3.81,55.34,28.16,8.92
1/11/2022,aaaa,7.41,2715951,169300968.2,4.18,56.18,29.09,8.89
1/12/2022,aaaa,7.3,2719918,170833194.6,4.29,56.35,29.19,8.89
1/13/2022,aaaa,7.25,2730982,172536905.7,4.41,56.6,29.52,8.89
1/14/2022,aaaa,7.02,2763476,173710229,4.6,56.64,29.66,8.88
1/17/2022,aaaa,7.54,2502996,167404499.3,4.07,54.39,28.18,8.93
1/19/2022,aaaa,7.15,2788445,173091359.2,4.44,56.65,29.61,8.88
1/20/2022,aaaa,7.14,2760255,176001730.4,4.62,57,30.08,8.87
1/21/2022,aaaa,6.94,2787909,176638354.7,4.71,57.12,30.27,8.86
1/24/2022,aaaa,7.22,2717373,170936170.4,4.3,56.11,29.21,8.89
1/25/2022,aaaa,7.18,2737772,172563563.6,4.36,56.48,29.43,8.89
1/26/2022,aaaa,6.94,2763905,175839098.5,4.69,56.92,30.03,8.87
1/27/2022,aaaa,6.99,2767104,174153788.2,4.58,56.33,29.93,8.91
1/28/2022,aaaa,7.12,2783596,177359143.3,4.71,56.69,30.09,8.92
1/31/2022,aaaa,7.53,2750243,170180194.1,4.2,55.48,28.77,8.95
2/1/2022,aaaa,7.3,2774838,174359222,4.42,56.21,29.51,8.93
2/2/2022,aaaa,7.19,2792596,175745567.9,4.46,56.34,29.8,8.93
2/3/2022,aaaa,7.25,2798223,176581899,4.51,56.57,29.81,8.92
2/4/2022,aaaa,6.81,2370912,117010360.8,4.13,46.79,28.68,8.95
2/7/2022,aaaa,7.56,2752855,171603184.8,3.98,55.71,28.86,8.95
2/8/2022,aaaa,7.16,2800812,175466777.5,4.51,56.39,29.81,8.92
2/9/2022,aaaa,7.05,2838843,178398303.9,4.66,57.01,30.38,8.9
2/10/2022,aaaa,6.94,2866021,180976781.2,4.91,57.27,30.75,8.89
2/11/2022,aaaa,7.11,2875440,179402414.5,4.67,57.08,30.33,8.91
2/14/2022,aaaa,7.33,2757853,176409367,4.48,56.05,29.69,8.93
2/15/2022,aaaa,7.22,2812535,178753349,4.65,56.49,30.21,8.92
2/16/2022,aaaa,7.07,2859739,180148900.4,4.71,56.95,30.49,8.9
2/17/2022,aaaa,7.17,2867140,183080085.2,4.81,57.43,30.8,8.9
2/18/2022,aaaa,6.82,2902329,181978073.6,4.93,56.98,30.65,8.9
2/21/2022,aaaa,7.56,2544573,172053640.3,4.19,53.79,28.52,8.99
2/22/2022,aaaa,7.46,2733077,177223526,4.46,55.89,29.61,8.95
2/23/2022,aaaa,7.33,2873955,179951178.9,4.54,56.33,30.03,8.93
2/24/2022,aaaa,7.25,2784001,182996374.3,4.77,56.77,30.47,8.93
2/25/2022,aaaa,7.19,2866108,181784611.4,4.72,56.53,30.37,8.93
2/28/2022,aaaa,7.38,2801202,178058942.8,4.5,56.31,29.97,8.91
3/1/2022,aaaa,7.08,2870141,183733181.4,4.96,57.11,30.93,8.89
3/2/2022,aaaa,6.84,2928953,186485630.1,5.32,57.52,31.5,8.88
3/3/2022,aaaa,6.97,2845200,188108733.1,5.43,57.39,31.6,8.89
3/4/2022,aaaa,7.03,2899585,185066200.1,4.98,57.25,31.16,8.9
3/7/2022,aaaa,7.48,2818757,180350313.9,4.54,56.64,30.27,8.91
3/8/2022,aaaa,7.24,2878241,183037234.7,4.79,57.07,30.87,8.9
3/9/2022,aaaa,7.1,2880486,185619949.1,5.02,57.2,31.12,8.89
3/10/2022,aaaa,6.78,2918938,187679128.7,5.4,57.6,31.74,8.86
3/11/2022,aaaa,6.98,2933876,187621094.7,5.27,57.57,31.66,8.87
3/14/2022,aaaa,7.46,2812142,178435246.7,4.47,56.05,30.02,8.92
3/15/2022,aaaa,7.04,2871293,182756273.2,4.86,56.87,30.96,8.88
3/16/2022,aaaa,6.86,2924264,185060841.6,5.15,57.36,31.44,8.87
3/17/2022,aaaa,6.94,2931659,186726776.9,5.09,57.46,31.61,8.87
3/18/2022,aaaa,6.77,2941752,187028294.6,5.26,57.37,31.57,8.87
3/21/2022,aaaa,7.49,2915140,179902916,4.52,56.39,30.24,8.9
3/22/2022,aaaa,7.24,2908767,182680219.8,4.72,57.1,30.92,8.87
3/23/2022,aaaa,7.19,2902213,183127366.6,4.74,57.07,30.73,8.89
3/24/2022,aaaa,6.83,2923695,186772387.7,5.11,57.5,31.38,8.87
3/25/2022,aaaa,7.01,2926596,185782912.5,4.84,57.07,30.97,8.89
3/28/2022,aaaa,7.49,2744751,179928875.3,4.53,55.84,29.92,8.93
3/29/2022,aaaa,7.39,2885109,183224862.1,4.75,56.47,30.44,8.92
3/30/2022,aaaa,6.94,2857975,184718615.7,5.08,56.7,30.91,8.9
3/31/2022,aaaa,7.34,2872193,182753874.3,4.74,56.58,30.55,8.92
4/1/2022,aaaa,7.11,2908182,182539579,4.71,56.68,30.57,8.9
4/4/2022,aaaa,7.37,2796764,180039214.7,4.57,55.98,30.04,8.93
4/5/2022,aaaa,7.36,2865248,182212556.4,4.81,56.98,30.64,8.9
4/6/2022,aaaa,7.14,2896573,183460943.6,4.92,57.37,30.94,8.89
4/7/2022,aaaa,6.92,2925006,187536327.8,5.12,57.94,31.57,8.87
4/8/2022,aaaa,7.01,2920869,187358222.1,5.02,57.57,31.48,8.87
4/11/2022,aaaa,7.15,2950225,185421812.8,4.94,56.53,30.95,8.91
4/12/2022,aaaa,7.01,2891453,191057625.1,5.38,57.37,31.81,8.89
4/13/2022,aaaa,6.78,2982374,194401341.6,5.73,57.98,32.37,8.87
4/14/2022,aaaa,6.86,2857381,193004175.9,5.42,57.6,32.12,8.87
4/15/2022,aaaa,7.33,2875046,186235494.1,4.75,57.16,31,8.91
4/18/2022,aaaa,7.52,2789426,184504950.1,4.63,56.25,30.58,8.92
4/19/2022,aaaa,7.28,2909551,187796268.8,5.01,56.98,31.46,8.89
4/20/2022,aaaa,6.88,2880341,190897093.2,5.23,57.35,31.96,8.88
4/21/2022,aaaa,7.13,2858555,189863286.9,4.97,57.01,31.41,8.89
4/22/2022,aaaa,7.09,2924374,189147982.6,4.79,57.22,31.37,8.89
4/25/2022,aaaa,7.67,2854658,182706216.3,4.23,56.28,30.2,8.92
4/26/2022,aaaa,7.33,2923346,187449523,4.7,56.88,31.12,8.9
4/27/2022,aaaa,7.05,2963005,191844723.2,5.27,57.37,31.85,8.88
4/28/2022,aaaa,7.11,2965079,191678994.1,5.12,57.46,31.78,8.88
4/29/2022,aaaa,8.13,1545762,90569871.96,3.82,53.62,28.88,8.95
5/2/2022,aaaa,7.77,2146363,121450644.3,4.09,51.83,29.45,8.94
5/3/2022,aaaa,7.63,3000194,184988261.6,4.53,56.53,30.66,8.91
5/4/2022,aaaa,7.31,2958087,187491053.8,4.75,56.71,31.21,8.89
5/5/2022,aaaa,7.31,2976877,184964281.8,4.46,56.07,30.63,8.91
5/6/2022,aaaa,7.17,2963583,186645536.1,4.56,56.09,30.87,8.9
5/9/2022,aaaa,7.65,2859656,182400148.4,4.12,55.03,29.87,8.93
5/10/2022,aaaa,7.13,2925633,185944851.9,4.7,55.38,30.72,8.91
5/11/2022,aaaa,7.18,2951014,189025227.8,4.76,56.13,31.19,8.9
5/12/2022,aaaa,7.28,2970320,187492504.7,4.63,56.1,30.89,8.91
5/13/2022,aaaa,7.22,2995911,186590763.4,4.55,55.89,30.87,8.9
5/16/2022,aaaa,7.9,2927343,179905747.1,3.95,54.86,29.44,8.94
5/17/2022,aaaa,7.33,3086340,188433985.7,4.76,55.84,31.02,8.9
5/18/2022,aaaa,7.36,2964062,186147258.3,5.09,55.95,30.89,8.89
5/19/2022,aaaa,7.11,2992118,187867988.3,5.19,56.28,31.02,8.89
5/20/2022,aaaa,7.2,3016745,186853795.5,4.95,55.89,30.58,8.91
5/23/2022,aaaa,7.85,3200962,182237675.5,4.48,55.22,29.76,8.92
5/24/2022,aaaa,7.41,2975818,187759010.9,5.01,55.95,30.81,8.89
5/25/2022,aaaa,7.31,2998131,187927783.4,5.03,56.09,30.77,8.89
5/26/2022,aaaa,7.16,2998992,191465088.3,5.27,56.13,30.99,8.89
5/27/2022,aaaa,6.92,3027113,190165904.3,5.52,55.36,31.17,8.88
5/30/2022,aaaa,8.42,2494707,166144928.1,3.6,50.67,26.33,9.03
6/1/2022,aaaa,7.06,2987570,184238382.2,5.34,55.54,30.96,8.89
6/2/2022,aaaa,7.4,2984521,187497949.7,5.11,56.74,30.98,8.9
6/3/2022,aaaa,7.21,3019735,185057943.8,5.02,56.64,30.9,8.9
6/6/2022,aaaa,7.73,2898969,181420261.6,4.54,56.07,30,8.92
6/7/2022,aaaa,7.63,3092197,183131418.5,4.63,56.53,30.2,8.92
6/8/2022,aaaa,7.48,2981186,186021604.5,4.82,56.88,30.66,8.91
6/9/2022,aaaa,7.23,3045236,187513135.1,5.07,57.22,31.01,8.89
6/10/2022,aaaa,7.34,3064912,187936758.8,4.92,57.36,31.04,8.89
6/13/2022,aaaa,7.84,3102249,183170618,4.5,56.11,29.97,8.93
6/14/2022,aaaa,7.64,3000387,184042638.7,4.74,56.37,30.26,8.91
6/15/2022,aaaa,7.56,2962917,185567728.7,4.84,56.58,30.53,8.92
6/16/2022,aaaa,7.44,2942060,189184838.2,4.98,56.59,30.86,8.91
6/17/2022,aaaa,7.38,2950405,186023472.6,4.82,56.13,30.33,8.93
6/20/2022,aaaa,7.84,2842222,180441660.8,4.46,55.1,29.32,8.95
6/21/2022,aaaa,7.11,3036475,187529533.1,5.06,56.78,30.8,8.89
6/22/2022,aaaa,7.53,3000343,189034862.6,5.06,56.59,31.01,8.9
6/23/2022,aaaa,7.49,2948162,188345434.5,4.98,56.66,30.86,8.9
6/24/2022,aaaa,7.62,2964035,185935944.1,4.75,56.25,30.44,8.92
6/27/2022,aaaa,7.91,2880675,182240921.8,4.43,55.5,29.56,8.94
6/28/2022,aaaa,7.86,2970024,185993856.9,4.66,55.95,30.3,8.93
6/29/2022,aaaa,7.53,2929507,188936877.3,5.02,56.11,30.7,8.91
6/30/2022,aaaa,7.7,2929052,186288959,4.77,55.91,30.32,8.93
7/1/2022,aaaa,7.63,2892293,182052478.4,4.51,54.87,29.5,8.95
7/5/2022,aaaa,7.9,2783418,176591432.2,4.06,54.67,28.7,8.96
7/6/2022,aaaa,7.68,2846209,179269665.5,4.3,55.53,29.23,8.95
7/7/2022,aaaa,7.6,2877942,179089268.9,4.31,55.62,29.29,8.94
7/8/2022,aaaa,7.73,2889336,177672963.5,4.03,55.55,28.94,8.96
7/11/2022,aaaa,7.77,2850444,173963815.7,3.86,55.4,28.58,8.95
7/12/2022,aaaa,7.42,2912946,181051095.7,4.47,56.15,29.77,8.92
7/13/2022,aaaa,7.27,2932396,181962176.8,4.54,56.27,29.83,8.92
7/14/2022,aaaa,7.24,2947190,179861244.8,4.22,56.42,29.57,8.93
